GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0400000US01,01,Alabama,1841217,10615,1232515,11755,870026,12061,608702,10930,10.1,0.3,6.7,0.4,2.0,0.2,18.1,0.8,6.9,0.3,4.3,0.3,2.0,0.2,12.9,0.7,13.2,0.4,10.0,0.4,6.4,0.4,20.2,0.9,11.6,0.3,10.5,0.4,8.7,0.5,13.9,0.7,14.4,0.4,14.9,0.5,14.5,0.6,13.4,0.8,17.0,0.5,18.8,0.6,21.4,0.7,12.4,0.7,10.5,0.4,13.1,0.4,16.2,0.6,4.8,0.5,10.3,0.4,13.6,0.5,17.8,0.7,2.9,0.3,3.4,0.2,4.6,0.3,6.3,0.4,0.8,0.2,2.6,0.1,3.5,0.2,4.8,0.2,0.6,0.1,42830,598,53764,933,68529,1175,24240,668,59464,699,70962,924,85551,1247,34398,711,34.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),35.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.9,(X)
0400000US02,02,Alaska,249659,2978,165015,3765,124028,3565,84644,3784,3.9,0.5,3.0,0.6,1.1,0.4,7.1,1.2,3.4,0.5,1.8,0.4,0.9,0.4,7.3,1.2,7.4,0.7,5.6,0.7,2.8,0.6,12.2,1.7,7.6,0.8,6.3,0.8,4.7,1.0,9.8,1.4,11.5,0.9,10.2,1.0,8.3,1.1,15.1,1.9,18.6,1.2,17.7,1.4,16.7,1.4,20.1,1.9,13.6,1.0,14.9,1.4,16.7,1.5,10.1,1.3,19.5,1.1,22.4,1.3,26.5,1.6,12.4,1.7,8.0,0.6,10.3,0.9,12.7,1.1,3.0,0.7,6.4,0.8,7.7,1.0,9.6,1.3,2.8,1.1,71583,1784,82307,2332,97254,3420,48029,2650,89094,2252,98975,2717,112794,3303,64015,3636,28.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.2,(X)
0400000US04,04,Arizona,2428743,11353,1579481,13962,1141295,13485,849262,12195,7.8,0.3,5.6,0.3,2.4,0.2,13.6,0.7,5.5,0.2,3.4,0.2,2.1,0.2,9.7,0.5,11.0,0.3,8.2,0.4,5.8,0.3,16.7,0.7,11.0,0.3,10.0,0.4,8.4,0.4,13.6,0.6,14.7,0.3,14.0,0.4,13.2,0.5,16.0,0.6,18.5,0.4,20.1,0.5,20.9,0.5,14.8,0.6,11.7,0.4,13.5,0.5,15.6,0.5,7.5,0.5,11.8,0.3,14.7,0.4,18.1,0.5,5.3,0.3,4.0,0.2,5.2,0.3,6.8,0.4,1.4,0.2,4.0,0.2,5.2,0.3,6.8,0.4,1.5,0.2,50068,483,59700,943,71252,794,31889,433,68103,648,78549,963,91238,1177,45085,913,32.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.0,(X)
0400000US05,05,Arkansas,1131288,8373,752212,9854,546528,9376,379076,9260,8.7,0.4,5.5,0.4,2.0,0.3,16.3,1.0,7.7,0.4,4.1,0.4,2.2,0.3,15.4,1.1,13.7,0.6,10.9,0.6,7.8,0.6,19.6,1.1,12.3,0.5,11.3,0.5,10.0,0.6,14.5,0.9,15.9,0.5,16.5,0.6,15.8,0.8,14.3,1.0,17.6,0.5,20.3,0.7,22.7,0.8,11.5,0.9,10.1,0.5,12.7,0.7,15.5,0.9,4.2,0.6,8.9,0.4,12.0,0.6,15.2,0.7,2.6,0.4,2.6,0.2,3.5,0.3,4.5,0.4,0.8,0.3,2.5,0.2,3.3,0.3,4.2,0.4,0.8,0.2,41262,653,51528,921,61923,1097,24142,845,57693,1098,68411,1546,80040,1938,34464,1056,29.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.2,(X)
0400000US06,06,California,12758648,18835,8762059,27318,6239143,26454,3996589,24576,5.9,0.1,4.4,0.1,1.8,0.1,11.2,0.3,5.1,0.1,3.2,0.1,1.8,0.1,10.0,0.2,9.3,0.1,8.0,0.1,5.6,0.1,13.1,0.3,8.9,0.1,8.4,0.2,6.8,0.2,10.4,0.2,12.0,0.2,11.8,0.2,10.4,0.2,12.5,0.2,16.5,0.2,16.6,0.2,16.3,0.2,15.8,0.3,12.1,0.1,12.7,0.2,13.8,0.2,9.8,0.2,14.9,0.2,16.8,0.2,20.0,0.3,9.7,0.2,7.0,0.1,8.3,0.1,10.6,0.2,3.6,0.1,8.1,0.1,9.8,0.1,12.9,0.2,3.8,0.1,61933,238,71015,368,87072,562,40842,335,88595,345,98670,466,116065,682,61229,512,32.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.5,(X)
0400000US08,08,Colorado,2039592,7530,1315283,8405,1005726,10270,724309,7586,6.0,0.3,3.4,0.3,1.2,0.2,11.7,0.7,3.8,0.2,2.0,0.2,1.1,0.1,7.4,0.5,8.6,0.3,6.2,0.3,4.2,0.3,13.5,0.6,9.3,0.3,7.8,0.4,6.3,0.3,12.6,0.6,13.3,0.4,12.0,0.4,10.2,0.5,16.0,0.7,18.4,0.4,18.2,0.5,18.2,0.6,17.7,0.7,13.4,0.4,15.4,0.5,16.8,0.5,9.2,0.5,15.1,0.4,18.6,0.5,22.0,0.6,7.8,0.5,6.3,0.2,8.2,0.3,9.9,0.4,2.3,0.3,5.9,0.2,8.1,0.3,10.0,0.4,1.7,0.2,61303,487,75405,844,87242,1057,38560,953,82295,867,96931,1273,110103,1567,52518,1065,28.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.9,(X)
0400000US09,09,Connecticut,1355817,6673,887263,10002,650673,9276,468554,8539,6.0,0.4,3.3,0.4,1.1,0.2,12.0,0.7,3.6,0.3,2.0,0.3,0.8,0.2,7.0,0.6,8.5,0.3,5.1,0.3,2.4,0.3,15.6,0.7,7.8,0.4,6.4,0.5,4.2,0.3,10.9,0.8,11.0,0.4,9.5,0.5,7.6,0.5,14.6,0.9,16.0,0.5,15.3,0.6,14.1,0.7,17.0,0.8,12.9,0.5,14.6,0.6,15.5,0.8,9.1,0.6,16.2,0.5,19.9,0.7,23.7,0.8,8.3,0.7,7.9,0.4,10.6,0.5,13.2,0.6,2.6,0.4,10.0,0.4,13.5,0.5,17.3,0.7,3.0,0.4,70048,828,88819,1385,106976,1289,39839,1186,100948,1353,121975,1752,144134,2168,57595,1967,31.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.7,(X)
0400000US10,10,Delaware,349743,3705,233000,4645,165362,4195,116743,4375,6.7,0.7,3.9,0.7,1.1,0.4,12.7,1.5,3.6,0.5,2.0,0.5,1.0,0.4,7.1,1.1,8.5,0.6,6.1,0.8,4.2,0.7,14.0,1.3,9.4,0.8,8.3,0.8,5.8,0.8,13.0,1.6,14.1,0.9,12.5,1.2,10.2,1.1,17.1,1.8,18.5,1.0,18.9,1.2,18.9,1.3,17.8,1.7,12.9,0.9,15.2,1.2,17.1,1.4,7.2,1.1,14.9,0.9,18.6,1.2,22.9,1.4,6.5,1.0,6.2,0.6,7.6,0.7,9.9,1.0,2.7,0.9,5.2,0.6,6.7,0.8,8.9,1.1,2.0,0.6,59716,1674,72594,1921,87100,2751,36973,1316,78773,2040,91131,2862,106106,3284,50877,2499,37.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),37.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),36.5,(X)
0400000US11,11,District of Columbia,277378,3304,117864,3359,66244,3097,159514,3865,11.4,1.1,7.8,1.3,1.1,0.5,14.3,1.6,4.0,0.6,2.5,0.7,0.7,0.5,5.2,1.0,7.5,0.8,8.5,1.3,4.0,1.4,7.6,1.3,6.7,0.7,6.5,1.1,2.8,0.8,6.8,1.0,8.9,0.8,7.6,1.0,4.9,1.2,9.6,1.0,13.3,0.9,13.7,1.6,12.0,1.9,13.5,1.4,11.6,0.9,9.8,1.3,9.7,1.5,12.4,1.3,14.7,1.1,14.2,1.4,17.4,1.9,14.8,1.6,8.5,0.8,9.7,1.2,14.6,1.8,7.3,1.0,13.5,0.9,19.7,1.6,32.9,2.5,8.4,1.1,71648,1996,84094,6264,142152,7954,61126,3665,103525,2816,125324,4501,178408,7370,84957,3738,30.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),34.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.0,(X)
