State,Percent
Alabama,4.07
Alaska,7.33
Arizona,7.72
Arkansas,4.77
California,7.45
Colorado,6.28
Connecticut,4.97
Delaware,4.91
Florida,6.15
Georgia,4.08
Hawaii,7.01
Idaho,4.9
Illinois,5.46
Indiana,4.22
Iowa,4.43
Kansas,4.77
Kentucky,4.31
Louisiana,5.02
Maine,3.63
Maryland,4.32
Massachusetts,4.66
Michigan,4.18
Minnesota,4.25
Mississippi,3.73
Missouri,4.34
Montana,4.23
Nebraska,4.5
Nevada,8.82
New Hampshire,3.98
New Jersey,3.73
New Mexico,4.44
New York,4.91
North Carolina,5.22
North Dakota,5.88
Ohio,4.33
Oklahoma,5.59
Oregon,6.92
Pennsylvania,3.46
Rhode Island,3.56
South Carolina,3.75
South Dakota,4.5
Tennessee,4.35
Texas,6.56
Utah,5.25
Vermont,2.7
Virginia,4.66
Washington,7.65
West Virginia,4.2
Wisconsin,4.12
Wyoming,7.52
