State,percent
Alabama,1.78
Alaska,1.61
Arizona,1.31
Arkansas,1.63
California,2.49
Colorado,3.32
Connecticut,0.93
Delaware,0.56
Florida,2.13
Georgia,2.91
Hawaii,0.41
Idaho,1.18
Illinois,1.69
Indiana,1.91
Iowa,1.33
Kansas,1.32
Kentucky,2.04
Louisiana,2.44
Maine,0.83
Maryland,1.81
Massachusetts,2.14
Michigan,2.14
Minnesota,2.34
Mississippi,2.27
Missouri,2.21
Montana,1.53
Nebraska,1.26
Nevada,0.55
New Hampshire,1.21
New Jersey,1.78
New Mexico,0.99
New York,1.9
North Carolina,1.77
North Dakota,2.21
Ohio,2.1
Oklahoma,2.22
Oregon,2.61
Pennsylvania,1.53
Rhode Island,1.64
South Carolina,1.75
South Dakota,2.21
Tennessee,1.96
Texas,3.3
Utah,1.67
Vermont,1.82
Virginia,3.2
Washington,1.51
West Virginia,0.75
Wisconsin,1.94
Wyoming,2.27
