State,percent
Alabama,2.45
Alaska,6.56
Arizona,2.94
Arkansas,1.80
California,1.33
Colorado,2.84
Connecticut,2.21
Delaware,2.96
Florida,2.50
Georgia,2.47
Hawaii,4.17
Idaho,2.91
Illinois,2.51
Indiana,2.27
Iowa,2.30
Kansas,2.88
Kentucky,2.15
Louisiana,2.09
Maine,2.12
Maryland,2.22
Massachusetts,1.92
Michigan,1.78
Minnesota,2.07
Mississippi,2.86
Missouri,2.53
Montana,2.75
Nebraska,2.34
Nevada,3.81
New Hampshire,2.20
New Jersey,1.90
New Mexico,3.95
New York,1.91
North Carolina,2.76
North Dakota,3.44
Ohio,1.86
Oklahoma,2.88
Oregon,2.29
Pennsylvania,1.88
Rhode Island,2.95
South Carolina,3.03
South Dakota,1.85
Tennessee,3.17
Texas,1.69
Utah,2.20
Vermont,2.85
Virginia,2.95
Washington,2.49
West Virginia,2.90
Wisconsin,1.95
Wyoming,4.47
